Episode_ID,Phase,Start,End
1,B2,2010-02-11,2010-03-12
2,A2,2010-03-15,2010-04-13
3,A3,2010-04-14,2010-04-16
4,A2,2010-04-19,2010-04-20
5,A3,2010-04-21,2010-04-27
6,A2,2010-04-28,2010-05-06
7,B2,2010-05-07,2010-05-12
8,A2,2010-05-13,2010-06-01
9,B2,2010-06-02,2010-07-09
10,B1,2010-07-12,2010-07-13
11,B2,2010-07-14,2010-07-28
12,A1,2010-07-29,2010-08-02
13,B2,2010-08-03,2010-08-05
14,A2,2010-08-06,2010-08-09
15,B2,2010-08-10,2010-08-17
16,A2,2010-08-18,2010-08-20
17,B1,2010-08-23,2010-09-02
18,A2,2010-09-03,2011-03-10
19,B1,2011-03-11,2011-03-24
20,A2,2011-03-25,2011-04-15
21,B2,2011-04-18,2011-04-19
22,A2,2011-04-20,2011-05-24
23,B1,2011-05-25,2011-06-28
24,B2,2011-06-29,2011-07-01
25,A2,2011-07-05,2011-07-27
26,B2,2011-07-28,2011-08-18
27,B3,2011-08-19,2011-08-26
28,B2,2011-08-29,2011-09-07
29,A1,2011-09-08,2011-09-22
30,B2,2011-09-23,2011-09-26
31,A1,2011-09-27,2011-09-28
32,B2,2011-09-29,2011-09-30
33,B1,2011-10-03,2011-10-05
34,B2,2011-10-06,2011-10-27
35,A2,2011-10-28,2011-11-17
36,B1,2011-11-18,2011-11-30
37,A2,2011-12-01,2011-12-13
38,B1,2011-12-14,2011-12-20
39,A2,2011-12-21,2011-12-22
40,A1,2011-12-23,2011-12-28
41,A2,2011-12-29,2012-03-13
42,A3,2012-03-14,2012-04-04
43,A2,2012-04-05,2012-04-17
44,B1,2012-04-18,2012-04-26
45,A2,2012-04-27,2012-05-03
46,B1,2012-05-04,2012-06-12
47,B2,2012-06-13,2012-08-03
48,A2,2012-08-06,2012-10-10
49,B1,2012-10-11,2012-11-23
50,B2,2012-11-26,2012-12-06
51,A1,2012-12-07,2012-12-24
52,B2,2012-12-26,2013-01-11
53,A2,2013-01-14,2013-02-25
54,B1,2013-02-26,2013-02-27
55,A2,2013-02-28,2013-06-12
56,B1,2013-06-13,2013-07-03
57,A2,2013-07-05,2013-08-30
58,B1,2013-09-03,2013-09-04
59,A2,2013-09-05,2013-12-23
60,A3,2013-12-24,2014-01-02
61,A2,2014-01-03,2014-03-25
62,B1,2014-03-26,2014-03-27
63,B2,2014-03-28,2014-03-31
64,A2,2014-04-01,2014-04-07
65,B2,2014-04-08,2014-04-25
66,A2,2014-04-28,2014-04-30
67,B2,2014-05-01,2014-05-12
68,A2,2014-05-13,2014-05-14
69,B2,2014-05-15,2014-05-23
70,A2,2014-05-27,2014-08-06
71,B1,2014-08-07,2014-08-13
72,A2,2014-08-14,2014-09-26
73,B1,2014-09-29,2014-10-02
74,A2,2014-10-03,2014-10-10
75,B2,2014-10-13,2014-10-23
76,A2,2014-10-24,2014-12-16
77,B1,2014-12-17,2014-12-18
78,A2,2014-12-19,2014-12-31
79,B1,2015-01-02,2015-01-22
